월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,SAE팀,진흥산업주식회사,43451,"819,930","122,990",0,"122,990","56,731","66,259"
2월,광고주,SAE팀,명성이벤트,34437,"810,860","121,630",0,"121,630","56,104","65,526"
2월,광고주,CS파트,주식회사 지지엠,58058,"1,094,724","91,268",0,"91,268","55,529","35,739"
2월,광고주,CS파트,주산수리셈(주),26442,"592,560","88,886",0,"88,886","54,079","34,807"
2월,광고주,CS파트,주식회사 한국국제교류원,53184,"589,220","88,384",0,"88,384","53,775","34,609"
2월,광고주,SAE팀,쿠코무 주식회사,58626,"772,330","115,850",0,"115,850","53,438","62,412"
2월,광고주,CS파트,테사테이프코리아(유),58402,"560,000","84,000",0,"84,000","51,107","32,893"
2월,광고주,CS파트,한국특수금속,42220,"555,320","83,299",0,"83,299","50,681","32,618"
2월,광고주,CS파트,(주)케이지이니시스,52699,"534,830","80,225",0,"80,225","48,811","31,414"
2월,광고주,SAE팀,케이비에스미디어주식회사,30936,"684,380","102,657",0,"102,657","47,352","55,305"
2월,광고주,CS파트,한미노즐(주),41665,"507,230","76,085",0,"76,085","46,291","29,794"
2월,광고주,SAE팀,(주)마음나눔,56946,"666,278","99,942",0,"99,942","46,100","53,842"
2월,광고주,SAE팀,주식회사 아리울마켓,61390,"663,817","99,572",0,"99,572","45,929","53,643"
2월,광고주,SAE팀,(주)제이에스인터푸드,42763,"625,020","93,753",0,"93,753","43,245","50,508"
2월,광고주,CS파트,(주)프로테인웍스,41866,"466,187","69,928",0,"69,928","42,546","27,382"
2월,광고주,SAE팀,에버스마일치과_목동,58000,"509,698","91,631",0,"91,631","42,266","49,365"
2월,광고주,CS파트,주식회사 한서이엔지,59699,"462,950","69,443",0,"69,443","42,251","27,192"
2월,광고주,SAE팀,한누리요가아카데미(H핫요가),42239,"610,460","91,570",0,"91,570","42,238","49,332"
